resolution_pixels_per_um,mean_reflectance,mean_transmittance,maximum_fresnel_error,maximum_energy_residual
50,0.040032551548910465,0.9599787263509928,0.005899990802447012,0.0006838194296127087
100,0.04195372286424401,0.9580561141935114,0.0014289896069256125,0.0008717905031982998
200,0.042423305324255034,0.9575638532987583,0.00038308789696693546,0.0009419636606490256
