resolution_pixels_per_um,meep_relative_gain_percent,maximum_existing_energy_residual,maximum_stacked_energy_residual,passes_individual_validation
200,0.7167373030608992,4.059114228849303e-06,8.413465518719576e-07,True
250,0.716965615951537,1.2340222452777994e-06,1.9608657542136143e-07,True
300,0.7170896287450157,1.1680153646498326e-06,3.0881757728806747e-07,True
