study,trial_number,state,refractive_index,thickness_nm,transmitted_power_w_m2,relative_gain_vs_no_retrofit_percent
practical_polymer,0,COMPLETE,1.3,20.0,827.7692440429137,0.03915890633559016
practical_polymer,1,COMPLETE,1.4123620356542088,951.7000202817178,799.7861382312813,-3.342709155480872
practical_polymer,2,COMPLETE,1.5195981825434215,606.6853145130958,782.1593219876852,-5.472979014981072
practical_polymer,3,COMPLETE,1.346805592132731,172.8746299294786,805.893858595254,-2.60456720052894
practical_polymer,4,COMPLETE,1.31742508365046,868.8526228594365,813.8275151289724,-1.6457536997898314
practical_polymer,5,COMPLETE,1.4803345035229627,713.9111262401245,790.2471027967111,-4.495538991234782
practical_polymer,6,COMPLETE,1.3061753482887408,970.5116551187544,815.1720775151075,-1.483258063265458
practical_polymer,7,COMPLETE,1.5497327922401265,228.09232846471062,778.4593274016397,-5.920137868743458
practical_polymer,8,COMPLETE,1.3545474901621302,199.73641965636514,805.4238204923118,-2.6613731483346226
practical_polymer,9,COMPLETE,1.3912726728878613,534.2613029995931,802.6804770842014,-2.9929169561212166
practical_polymer,10,COMPLETE,1.4295835055926347,305.40455739408105,799.6904236578629,-3.3542766369846433
practical_polymer,11,COMPLETE,1.4835558684167138,156.703983439001,781.974037468249,-5.4953713756735745
practical_polymer,12,COMPLETE,1.3876433945605655,379.0346064278179,805.2889808911816,-2.677669042850417
practical_polymer,13,COMPLETE,1.4368209952651108,789.4724421651533,797.5472029449255,-3.613293263920081
practical_polymer,14,COMPLETE,1.359902134647508,523.9497496453394,807.8058717921217,-2.3734929084976764
practical_polymer,15,COMPLETE,1.4777243706586127,65.52140446559777,789.0514740964041,-4.6400354078433566
practical_polymer,16,COMPLETE,1.4822634555704315,187.1136412135457,785.6368944453791,-5.0527007475687835
practical_polymer,17,COMPLETE,1.319515477895584,949.9078265082666,813.6498601546268,-1.6672240000419336
practical_polymer,18,COMPLETE,1.5896896099223679,812.2294011541319,770.1397082028517,-6.925596470953388
practical_polymer,19,COMPLETE,1.3913841307520112,115.71867172625619,796.0588819763618,-3.793162688822338
practical_polymer,20,COMPLETE,1.5052699079536471,451.3494438648093,785.5113740493609,-5.0678703796052655
practical_polymer,21,COMPLETE,1.3366114704534338,505.2733719090448,811.5913356655242,-1.9160047562248095
practical_polymer,22,COMPLETE,1.3103165563345656,911.1339940372064,814.8902098616024,-1.5173228744220446
practical_polymer,23,COMPLETE,1.3776339944800051,669.2718386669023,804.4017605790059,-2.784893096454022
practical_polymer,24,COMPLETE,1.3935133228268233,529.6666607542546,802.4183904433612,-3.0245911543339665
practical_polymer,25,COMPLETE,1.464013083802984,201.1573664150165,789.4851216354218,-4.587627402378869
practical_polymer,26,COMPLETE,1.5908753883293676,779.6301668938922,771.1523052853064,-6.803220143047051
practical_polymer,27,COMPLETE,1.5818496824692567,896.9308034190958,770.2826168072038,-6.908325405758897
practical_polymer,28,COMPLETE,1.4793699936433256,923.4367503226545,788.7215388779189,-4.679909372705393
practical_polymer,29,COMPLETE,1.3265477506155758,212.0632051707623,809.3895748264183,-2.182096186949245
practical_polymer,30,COMPLETE,1.3135681866731614,338.82372414799903,814.2255613740256,-1.5976482502971012
practical_polymer,31,COMPLETE,1.4166031869068447,285.922051138418,800.4965787582212,-3.25684963209375
practical_polymer,32,COMPLETE,1.548621252745579,369.61826015971747,779.216055121484,-5.8286843565972575
practical_polymer,33,COMPLETE,1.3842803529062142,551.8421614950835,803.4988111491945,-2.894018075599303
practical_polymer,34,COMPLETE,1.3422772674924288,806.1530411389589,810.2898059944728,-2.073299720395849
practical_polymer,35,COMPLETE,1.3223651931039313,987.1491978685069,812.877242298257,-1.7605978974940206
practical_polymer,36,COMPLETE,1.5316734307889974,214.74136790348896,780.1393855066958,-5.7170962590761265
practical_polymer,37,COMPLETE,1.3016566351370809,819.1521998857374,815.0394619985302,-1.499285168442166
practical_polymer,38,COMPLETE,1.5120572031542852,734.4270246801675,785.5623363670363,-5.061711383685985
practical_polymer,39,COMPLETE,1.5313811040057839,92.56375869940855,763.2446180811261,-7.7588951484832025
practical_polymer,40,COMPLETE,1.4075397185632819,133.55167833462713,793.3231922943552,-4.123781513798264
practical_polymer,41,COMPLETE,1.5589310277626782,630.8321642910067,776.5403135014956,-6.152058223216105
practical_polymer,42,COMPLETE,1.3992694074557948,82.28718328030317,798.8475370880371,-3.4561427839883363
practical_polymer,43,COMPLETE,1.3932946965146986,338.6796555862121,804.9911131851176,-2.713667523096508
practical_polymer,44,COMPLETE,1.5188818535014192,644.8063219281089,783.2249004224294,-5.344199682905515
