incidence_angle_deg,polarization,projected_incident_power_w_m2,baseline_transmitted_power_w_m2,retrofit_transmitted_power_w_m2,baseline_weighted_transmittance_percent,retrofit_weighted_transmittance_percent,additional_transmitted_power_w_m2,absolute_gain_percentage_points,relative_gain_percent,passes_positive_gain_gate,passes_provisional_margin_gate,baseline_maximum_energy_residual,retrofit_maximum_energy_residual
0.0,TE,836.08151675,827.4452255420653,832.9620348635659,98.9670515332637,99.62689261466274,5.516809321500659,0.6598410813990356,0.6667280384495008,True,True,7.771561172376096e-16,8.881784197001252e-16
0.0,TM,836.08151675,827.4452255420653,832.9620348635659,98.9670515332637,99.62689261466274,5.516809321500659,0.6598410813990356,0.6667280384495008,True,True,7.771561172376096e-16,8.881784197001252e-16
0.0,unpolarized,836.08151675,827.4452255420653,832.9620348635659,98.9670515332637,99.62689261466274,5.516809321500659,0.6598410813990356,0.6667280384495008,True,True,7.771561172376096e-16,8.881784197001252e-16
15.0,TE,807.5927299117612,798.0851107839942,804.4873199831865,98.822721060304,99.61547326844881,6.402209199192271,0.7927522081447892,0.8021962961949132,True,True,7.771561172376096e-16,1.1102230246251565e-15
15.0,TM,807.5927299117612,799.9026954245007,804.8992622475612,99.04778309630143,99.66648193273181,4.996566823060448,0.6186988364303849,0.6246468291257373,True,True,8.881784197001252e-16,1.4432899320127035e-15
15.0,unpolarized,807.5927299117612,798.9939031042475,804.6932911153739,98.93525207830272,99.64097760059032,5.699388011126416,0.7057255222875941,0.7133205884279191,True,True,6.661338147750939e-16,8.326672684688674e-16
30.0,TE,724.0678331401247,711.2511368031876,720.8588850216267,98.22990391917372,99.55681664457025,9.607748218439156,1.32691272539652,1.3508236010169983,True,True,9.992007221626409e-16,9.992007221626409e-16
30.0,TM,724.0678331401247,719.0100787745872,722.2771108281396,99.30148058868971,99.75268583549429,3.2670320535523842,0.4512052468045676,0.45437917353264434,True,True,7.771561172376096e-16,1.1102230246251565e-15
30.0,unpolarized,724.0678331401247,715.1306077888875,721.5679979248832,98.76569225393173,99.65475124003228,6.43739013599577,0.8890589861005438,0.9001698523154447,True,True,7.771561172376096e-16,7.771561172376096e-16
45.0,TE,591.198910118659,570.1295959368421,586.9278186698791,96.43617168076509,99.27755424178258,16.79822273303705,2.8413825610174914,2.9463867255363336,True,True,7.771561172376096e-16,9.992007221626409e-16
45.0,TM,591.198910118659,589.4616399353389,590.1014734581643,99.70614455581939,99.81437099397317,0.63983352282537,0.10822643815377629,0.10854540473499796,True,True,8.881784197001252e-16,1.1102230246251565e-15
45.0,unpolarized,591.198910118659,579.7956179360906,588.5146460640216,98.07115811829226,99.54596261787785,8.719028127930983,1.4748044995855953,1.5038106288157664,True,True,6.661338147750939e-16,8.326672684688674e-16
60.0,TE,418.0407583750001,379.25900890950453,408.5164963687511,90.72297409079268,97.72169057312222,29.25748745924659,6.998716482329552,7.714381668446472,True,True,8.881784197001252e-16,8.881784197001252e-16
60.0,TM,418.0407583750001,415.14497470805236,415.5932872095077,99.30729633201217,99.4145376697224,0.44831250145534796,0.1072413377102318,0.1079893841351736,True,True,8.881784197001252e-16,8.881784197001252e-16
60.0,unpolarized,418.0407583750001,397.2019918087785,412.05489178912944,95.01513521140242,98.56811412142233,14.85289998035097,3.552978910019892,3.739382049096439,True,True,6.106226635438361e-16,7.216449660063518e-16
