active_refractive_index,active_thickness_nm,primer_refractive_index,primer_thickness_nm,transmitted_power_w_m2,weighted_transmittance_percent,additional_power_vs_baseline_w_m2,relative_gain_vs_baseline_percent,passes_positive_gain_gate,passes_provisional_margin_gate,maximum_energy_residual
1.06,100.0,1.15,30.0,832.9807937241987,99.62913627873819,5.535568182133488,0.668995120312296,True,True,8.881784197001252e-16
1.06,100.0,1.15,50.0,833.2991814408017,99.66721722063494,5.853955898736444,0.7074735242929798,True,True,1.1102230246251565e-15
1.06,100.0,1.15,75.0,833.4264003218402,99.68243330644592,5.98117477977496,0.7228484249040956,True,True,8.881784197001252e-16
1.06,100.0,1.2,30.0,832.7031013075448,99.59592272107777,5.257875765479525,0.6354349029006788,True,True,8.881784197001252e-16
1.06,100.0,1.2,50.0,832.5508215058405,99.57770920975697,5.105595963775272,0.6170312917608002,True,True,9.992007221626409e-16
1.06,100.0,1.2,75.0,832.0762791863128,99.5209513087604,4.631053644247572,0.5596809917192689,True,True,9.992007221626409e-16
1.06,100.0,1.25,30.0,831.9763549161771,99.50899981023616,4.531129374111856,0.5476047518605816,True,True,9.992007221626409e-16
1.06,100.0,1.25,50.0,830.7340297718297,99.3604108126972,3.2888042297644233,0.39746488688842263,True,True,8.881784197001252e-16
1.06,100.0,1.25,75.0,828.9167385647281,99.14305267587751,1.4715130226628617,0.17783811873454983,True,True,8.881784197001252e-16
1.06,116.73562789476563,1.15,30.0,833.0580358043683,99.63837486117568,5.6128102623030145,0.6783301285744954,True,True,9.992007221626409e-16
1.06,116.73562789476563,1.15,50.0,833.2459015388665,99.66084464800082,5.80067599680126,0.701034439228433,True,True,8.881784197001252e-16
1.06,116.73562789476563,1.15,75.0,833.3428581729618,99.67244120074751,5.89763263089651,0.7127520286352403,True,True,8.881784197001252e-16
1.06,116.73562789476563,1.2,30.0,832.954366885619,99.62597548184814,5.509141343553779,0.6658013332477326,True,True,9.992007221626409e-16
1.06,116.73562789476563,1.2,50.0,832.7484771579665,99.60134992518556,5.3032516159012175,0.640918752347265,True,True,8.881784197001252e-16
1.06,116.73562789476563,1.2,75.0,832.2802271118007,99.54534461508305,4.835001569735482,0.5843288982141431,True,True,8.881784197001252e-16
1.06,116.73562789476563,1.25,30.0,832.4056214019939,99.56034246967988,4.960395859928667,0.5994832898672026,True,True,8.881784197001252e-16
1.06,116.73562789476563,1.25,50.0,831.1806726191198,99.41383178162691,3.735447077054573,0.4514434263135007,True,True,8.881784197001252e-16
1.06,116.73562789476563,1.25,75.0,829.3924998884336,99.1999563765543,1.9472743463683173,0.23533574021079692,True,True,9.992007221626409e-16
1.06,135.0,1.15,30.0,832.8085332074241,99.60853296275482,5.363307665358889,0.648176761409838,True,True,8.881784197001252e-16
1.06,135.0,1.15,50.0,832.9373333022412,99.62393817052902,5.492107760175941,0.6637427579061831,True,True,9.992007221626409e-16
1.06,135.0,1.15,75.0,833.0922540717551,99.64246755628987,5.6470285296898055,0.682465540361345,True,True,8.881784197001252e-16
1.06,135.0,1.2,30.0,832.8575938576305,99.6144008894131,5.412368315565232,0.6541059333588577,True,True,9.992007221626409e-16
1.06,135.0,1.2,50.0,832.6377038299773,99.58810081899558,5.192478287912081,0.6275313613067803,True,True,9.992007221626409e-16
1.06,135.0,1.2,75.0,832.2275643725222,99.53904585853556,4.782338830456979,0.5779643996766112,True,True,9.992007221626409e-16
1.06,135.0,1.25,30.0,832.4633627072694,99.56724865096946,5.018137165204166,0.6064615530190229,True,True,8.881784197001252e-16
1.06,135.0,1.25,50.0,831.2628033787387,99.4236550773192,3.817577836673422,0.46136925065613854,True,True,8.881784197001252e-16
1.06,135.0,1.25,75.0,829.5224429117554,99.21549828493508,2.0772173696901746,0.2510398640984815,True,True,9.992007221626409e-16
1.0929340906200649,100.0,1.15,30.0,833.4998051271778,99.69121292946915,6.054579585112492,0.7317196834565205,True,True,9.992007221626409e-16
