wavelength_nm,am15g_irradiance_w_m2_nm,baseline_transmittance,film_transmittance,baseline_transmitted_w_m2_nm,film_transmitted_w_m2_nm
300.0,0.0010205,0.9577316083888794,0.9601990826890108,0.0009773651063608513,0.0009798831638841354
301.255230125523,0.0023186644351464013,0.9574964852958128,0.960375780347323,0.0022201130472330804,0.00222678916626731
302.52100840336135,0.004402088235294147,0.9573432001029153,0.9605624828379459,0.004214309238311894,0.004228480804965858
303.7974683544304,0.009271375949367116,0.9574616113059675,0.9609159750922076,0.008876986555504434,0.008909013260832545
305.08474576271186,0.016845372881355916,0.957421613222298,0.9611842740881499,0.016128124079398932,0.016191507504710292
306.3829787234043,0.020515638297872455,0.957510158407603,0.9616243556643704,0.019643932076428942,0.01972833745923488
307.6923076923077,0.03648192307692302,0.9576749098465566,0.9620539976921402,0.034937822393721264,0.03509757993965094
309.0128755364807,0.040605381974248955,0.9577304016394291,0.9623536749033713,0.038889008786919886,0.03907673856377359
310.34482758620686,0.06100865517241276,0.9577863757864058,0.9627313846005685,0.058433258729187774,0.05873494706675557
311.68831168831167,0.0875810909090906,0.9577822536874945,0.9630613512584453,0.08388361463131812,0.08434596375559753
313.04347826086956,0.10735086956521739,0.9577312502036512,0.9632984287257228,0.10281328251914475,0.10341092397451393
314.410480349345,0.12864668122270775,0.9577348672757034,0.9636114528900425,0.12320941216628974,0.12396541540249556
315.7894736842105,0.12133263157894732,0.9577152978232898,0.9639603739797667,0.11620211738831503,0.1169598489127913
317.1806167400881,0.17550660792951556,0.9576854655079036,0.9642974394796813,0.16808012751469123,0.16924057263819617
318.5840707964602,0.18906938053097416,0.9577346536800025,0.9646850664184565,0.18107829768432515,0.18239240791521924
320.0,0.20527,0.9577695014597329,0.9650785930359385,0.1966013455646394,0.1981016827924871
321.42857142857144,0.24011714285714247,0.957753647295132,0.9654592498849197,0.22997306934951445,0.23182331662736688
322.86995515695065,0.2135162331838567,0.9577746668060222,0.9658738815128317,0.2045004390953453,0.20622975291129056
324.3243243243243,0.28045540540540537,0.9577949622140833,0.9662717008090733,0.26861877442300564,0.27099612158217923
325.7918552036199,0.3575380995475089,0.9577760918097851,0.9666496519858095,0.342441443657711,0.34561407949926726
327.27272727272725,0.3907454545454551,0.9577772365151475,0.9670805136892987,0.37424710163540115,0.37788231490357727
328.76712328767127,0.39873164383562,0.9577839762911885,0.9675220020183345,0.3818987793060021,0.38578163831190054
330.2752293577982,0.44750559633027254,0.9577648452012983,0.9679301040245885,0.4286051281959782,0.4331541384075462
331.7972350230415,0.4288615207373274,0.9577534861429551,0.9683595461591543,0.4107436165587446,0.4152921475863231
333.3333333333333,0.41464000000000084,0.9577402824251268,0.9688101017244145,0.39711743070475536,0.40170742057901204
334.8837209302325,0.4595102325581384,0.9577080027322835,0.9692450148140447,0.4400766270583018,0.445378002163018
336.4485981308411,0.3855376635514029,0.9576926392739787,0.9696873213085001,0.3692265825460663,0.37385098423269764
338.0281690140845,0.43530211267605534,0.9576899031312806,0.970144230511921,0.4168844381215732,0.4223058331423252
339.62264150943395,0.48116603773584826,0.9576715305520419,0.9705980275636817,0.46079901580815136,0.46701880715704636
341.23222748815164,0.4704425118483413,0.9576607727038492,0.9710632872058371,0.45052433940942227,0.4568294519968213
342.8571428571429,0.5128271428571433,0.9576683084005235,0.971539818385964,0.491118302401874,0.4982319892348218
344.4976076555024,0.4031434928229661,0.9576698394499281,0.9720089730075547,0.38607836404705315,0.3918590924335298
346.15384615384613,0.480484615384615,0.9576684723715622,0.9724855804851965,0.46014496761342183,0.46726436010651373
347.82608695652175,0.4756769565217391,0.9576733023759999,0.972977497331442,0.45554312181633877,0.46282297469475886
349.5145631067961,0.47950427184466027,0.9576724492365645,0.9734630068912923,0.4592080304368712,0.4667796702871226
351.2195121951219,0.5422809756097573,0.9576698299066293,0.9739449709427326,0.5193261296737972,0.5281518290330417
352.94117647058823,0.5167788235294115,0.9576734131128828,0.9744393769380923,0.4949053397538717,0.5035696348148001
354.679802955665,0.6115024630541872,0.9576698811781889,0.9749356008711572,0.5856174911332733,0.5961755212519266
356.43564356435644,0.5238541584158413,0.9576594353762068,0.9754273970589187,0.5016738775679925,0.5109816981820545
358.20895522388054,0.41718835820895894,0.9576585845359854,0.9759263433565731,0.39952401260728326,0.4071451089178015
360.0,0.59817,0.9576625913549812,0.97643090579343,0.5728450322708091,0.584071674918456
361.80904522613065,0.5247897487437184,0.9576607805147297,0.976935580173866,0.5025705603880383,0.5126857776582419
363.6363636363636,0.5911018181818177,0.9576609277666005,0.9774472675898426,0.566075115604524,0.5777708570492056
365.48223350253807,0.6840524365482227,0.9576658256927074,0.9779636610090252,0.655093641464062,0.6689784251688438
367.3469387755102,0.7133369387755109,0.9576667253077886,0.978474535475341,0.683139050198226,0.6979820298057697
369.2307692307692,0.7169376923076919,0.9576645808798413,0.9789845159955834,0.6865858346208064,0.7018708997028362
371.1340206185567,0.700651958762886,0.9576631090932823,0.9794994930379141,0.6709885332211637,0.6862882384042683
373.05699481865287,0.6119066321243501,0.9576579021472896,0.9800118399147822,0.5859972216302185,0.5996757444042422
374.99999999999994,0.5892999999999958,0.9576509859662122,0.9805194258908633,0.5643437260298849,0.5778200976774817
376.9633507853403,0.7087060209424081,0.957649641098887,0.9810295287566756,0.6786920666001174,0.6952615337521493
378.94736842105266,0.753394210526311,0.957649739911523,0.9815406053300706,0.7214877697613689,0.7394870094521659
380.95238095238096,0.762584285714286,0.95764493015363,0.982046760211524,0.7302849750291133,0.7488934271739338
382.97872340425533,0.4572295744680836,0.9576397969425721,0.982549954679385,0.4378612368497542,0.44925089767169
385.0267379679144,0.6719500000000015,0.9576374074373806,0.9830509640596907,0.6434844559275493,0.6605610952999107
387.09677419354836,0.649644838709678,0.9576331140166838,0.983546007650006,0.6221214098984152,0.6389555875033359
389.18918918918916,0.7135321621621585,0.9576271938406095,0.9840379240302832,0.6832978021663706,0.7021427075828899
391.304347826087,0.8587208695652183,0.9576243360857747,0.9845319535277681,0.8223320026003913,0.8454381352481082
393.4426229508196,0.3927922950819791,0.9576232239680642,0.9850245353509244,0.37614702396622,0.38691004795254963
395.6043956043956,0.8387012087912056,0.9576213949220218,0.9855112695528142,0.8031582214854202,0.8265494930513009
397.7900552486188,0.7588378453038676,0.9576211094680871,0.985995081788847,0.7266791393262623,0.7482103833448593
400.0,1.1141,0.9576217353219333,0.9864769773785643,1.066886375322166,1.0990340004974586
402.23463687150837,1.195588268156425,0.9576188980388979,0.9869524665724797,1.14491791986019,1.179988790262103
404.4943820224719,1.1657629213483154,0.9576138976015769,0.9874209712039337,1.116350774791761,1.1510987559912886
406.77966101694915,1.107028813559322,0.9576114015839735,0.9878857459007417,1.0601034137463856,1.093617985216664
409.09090909090907,1.2134090909090955,0.9576102875675901,0.9883461313031633,1.161973028482587,1.199268180688093
411.42857142857144,1.2055142857142869,0.957607439759572,0.9888004445254277,1.1544094487364474,1.1920130615960403
413.7931034482758,1.186868965517242,0.9576045283782478,0.9892507494100891,1.1365510959709173,1.1741110135895088
416.1849710982659,1.2566289017341032,0.9576032065677537,0.9896973336983256,1.2033518657662918,1.2436822734944972
418.60465116279073,1.2067837209302341,0.9576014181977458,0.9901365095560938,1.1556178026207449,1.1948806212309773
421.05263157894734,1.2747842105263163,0.9575988537467187,0.9905678376198723,1.2207318987744162,1.2627602388530093
423.52941176470586,1.2148529411764708,0.9575977751266642,0.990994586453265,1.1633404735766728,1.2039126880427093
426.03550295857985,1.212040828402368,0.9575973680091937,0.9914161787298382,1.1606471071977904,1.2016368865592233
428.57142857142856,1.1338428571428585,0.9575952076533505,0.9918289049161851,1.0857624862319837,1.1245781193470399
431.13772455089816,0.8664877844311126,0.9575926631525278,0.9922325772114947,0.8297423450825225,0.8597574074683609
433.7349397590362,1.1600096385542122,0.9575918317245135,0.9926289033905085,1.110815754601219,1.1514590954404877
436.3636363636363,1.3762272727272713,0.9575907597121948,0.9930167062823823,1.3178625196275495,1.3666166734596208
439.0243902439025,1.1817048780487864,0.9575875311349087,0.9933948492722907,1.1315858567008157,1.173899539213605
441.71779141104287,1.3985570552147166,0.9575842860840238,0.9937652326581621,1.3392362592655591,1.389837377361167
444.44444444444446,1.4321777777777784,0.9575827535410435,0.9941284494660608,1.3714287400047378,1.4237686735819715
447.2049689440994,1.493948447204969,0.9575811440303059,0.994481835090745,1.4305768631968334,1.4857045933073665
450.0,1.5595,0.9575783839461177,0.9948245582406807,1.4933434897639706,1.5514288985763416
452.8301886792452,1.4498226415094408,0.9575759033939719,0.9951588136335316,1.3883152257044375,1.4428037799035682
455.69620253164555,1.5572101265822778,0.9575737672203929,0.9954846202423105,1.4911435672651365,1.5501787314982391
458.5987261146497,1.5440356687898085,0.9575705842015423,0.9957994320237937,1.4785231373910759,1.5375498420053697
461.5384615384615,1.59066923076923,0.9575675139923481,0.9961032373675356,1.5231731808918123,1.5844707703501577
464.5161290322581,1.5443870967741926,0.9575669179593544,0.996398248815615,1.478853992394259,1.5388245987192373
467.5324675324674,1.5316974025973955,0.9575676087128625,0.9966839913004865,1.4667038190768906,1.5266182806853603
470.5882352941176,1.5226411764705876,0.9575665025083194,0.9969579880473913,1.4580301859280933,1.5180092838122299
473.6842105263158,1.5616684210526315,0.9575636817723551,0.9972200998718465,1.4953969629707782,1.557327138808814
476.8211920529801,1.570737086092715,0.9575612008145059,0.99747145239038,1.504076890322818,1.5667654025883337
479.99999999999994,1.6180999999999985,0.957558869333421,0.9977110627772267,1.5494260064684071,1.614396270679829
483.2214765100671,1.5970671140939607,0.9575556174459633,0.9979379648935017,1.5292805865388852,1.593773905637265
486.4864864864865,1.345789189189193,0.9575527249882532,0.9981541950305692,1.2886641053678436,1.3433051248159815
489.79591836734687,1.5876040816326416,0.9575516057550579,0.9983614665319952,1.52021283767062,1.5850027392109454
493.1506849315069,1.5846041095890402,0.9575508152968479,0.9985575350318167,1.517338957059721,1.5823183736725186
496.55172413793093,1.582386206896549,0.9575488251281218,0.9987396604145343,1.5152120533127356,1.5803918629205025
500.0,1.5451,0.9575470272904629,0.9989088055632996,1.4795059118664942,1.5434139954758541
503.49650349650346,1.5123727272727308,0.9575467235798378,0.9990669349091932,1.448167549831507,1.5109615850766243
507.0422535211267,1.5543309859154943,0.9575461540695945,0.9992132639720519,1.4883436577145828,1.5531081377295186
510.6382978723404,1.5664829787234031,0.9575437212102218,0.9993465503571651,1.49997594065928,1.5654593609804495
514.2857142857142,1.50075714285714,0.9575411112986946,0.9994679411458526,1.4370366623608797,1.499958651731358
517.9856115107914,1.4376971223021617,0.9575401030203309,0.9995782785151668,1.376652650601245,1.437090814537004
521.7391304347826,1.5600260869565221,0.9575393288844408,0.999675716285868,1.4937863323465685,1.559520195902901
525.5474452554744,1.5540124087591276,0.9575372567261875,0.9997591606854287,1.4880247788016698,1.5536381414757667
529.4117647058823,1.581364705882355,0.9575353322465507,0.9998308865389717,1.5142125790500298,1.5810972758237951
533.3333333333334,1.4624666666666706,0.9575350399192554,0.9998925105710601,1.4003630780472507,1.4623094669598269
537.3134328358209,1.5223761194029846,0.957534753762147,0.9999414590864057,1.4577280426259098,1.5222869981141207
541.3533834586466,1.4696263157894704,0.9575326119776159,0.999974734755354,1.4072151247889322,1.4695891853210639
545.4545454545454,1.5369545454545466,0.957529670005629,0.9999932535576629,1.4716795787227437,1.5369441764793308
549.618320610687,1.5445183206106878,0.9575270688107338,0.9999991643700925,1.4789181002588292,1.5445170299649864
553.8461538461538,1.550299999999999,0.9575230535458896,0.9999919157509001,1.4844479899121916,1.5502874669886193
558.1395348837209,1.5194604651162815,0.957516426656062,0.9999706776929947,1.4549083550032997,1.5194159110300411
562.5,1.51275,0.9575102895216229,0.9999378118223823,1.4484736904738351,1.5126559248343088
566.9291338582677,1.5252960629921275,0.9575083259479457,0.999895732628876,1.4604836798505842,1.5251370243814535
571.4285714285714,1.467514285714287,0.9575094441717386,0.999842563303651,1.405158788028373,1.4672832451132993
576.0,1.4654,0.9575100936622661,0.9997751582885746,1.4031352912526849,1.4650705169560772
580.6451612903226,1.5064516129032257,0.9575099768062552,0.9996944664008266,1.4424424489307133,1.5059913413199548
585.3658536585365,1.5188268292682967,0.9575111534536863,0.9996033739635393,1.4542936291890918,1.5182244230029338
