scenario,active_refractive_index,active_thickness_nm,protective_refractive_index,protective_thickness_nm,release_refractive_index,release_thickness_nm,transmitted_power_w_m2,weighted_transmittance_percent,additional_power_vs_baseline_w_m2,absolute_gain_vs_baseline_percentage_points,relative_gain_vs_baseline_percent,gain_retention_vs_validated_active_percent,maximum_energy_residual,best_trial_number,passes_positive_gain_gate,passes_provisional_practical_margin_gate,active_parameter_near_boundary,protective_parameter_near_boundary,release_parameter_near_boundary
active_only_reference,1.099528506782685,119.36498143392957,,,,,833.3817547260564,99.67709344485475,5.936529183991183,0.7100419115910546,0.717452829593901,100.00278992336027,9.992007221626409e-16,152,True,True,False,,
protective_topcoat,1.1856107792991086,243.4319452867923,1.300007281938919,285.42625289354976,,,819.7601425657658,98.04787286200533,-7.685082976299441,-0.9191786712583658,-0.9287724116439113,-129.4577546245255,9.992007221626409e-16,144,False,False,False,True,
release_primer,1.0929340906200649,116.73562789476563,,,1.2121405844940432,20.027312627319393,833.5041748419894,99.69173557166661,6.058949299924166,0.7246840384029056,0.7322477806255883,102.06499710816666,9.992007221626409e-16,176,True,True,False,,True
protective_and_release,1.2205726560981691,105.4753515805809,1.300106316556052,271.3771641958355,1.200137884577032,124.92623828136331,819.8826683924381,98.0625276324096,-7.562557149627196,-0.9045239008540965,-0.9139646850548822,-127.39376670748932,9.992007221626409e-16,204,False,False,False,True,True
