case,transmitted_power_w_m2,solar_weighted_transmittance_percent,additional_power_vs_bare_w_m2,absolute_gain_vs_bare_percentage_points,relative_gain_vs_bare_percent
Bare glass,800.7905969188105,95.77900968695353,0.0,0.0,0.0
Existing AR 100 nm,827.4178617448698,98.9637786709115,26.62726482605933,3.1847689839579667,3.3251220641841606
Existing AR 180 nm,820.5456410826546,98.14182285386045,19.755044163844104,2.3628131669069226,2.4669425739831663
Ideal flat film,828.9118312575504,99.14246573464278,28.121234338739896,3.3634560476892514,3.5116838842690568
