scenario,trial_number,relative_gain_percent,trial_state,active_refractive_index,active_thickness_nm,protective_refractive_index,protective_thickness_nm,release_refractive_index,release_thickness_nm
active_only_reference,0,0.7174328137682373,COMPLETE,1.100474,118.791,,,,
active_only_reference,1,0.6113385227453527,COMPLETE,1.131370849898476,132.58252147247765,,,,
active_only_reference,2,0.7042288278390929,COMPLETE,1.1135296968035386,112.87967704530871,,,,
active_only_reference,3,0.06871271248958255,COMPLETE,1.2092488900060994,89.4898504577487,,,,
active_only_reference,4,0.1733585269874771,COMPLETE,1.0313642753296073,241.70580310813273,,,,
active_only_reference,5,-0.8630226907368588,COMPLETE,1.2445711001592568,167.79409484330571,,,,
active_only_reference,6,0.12504311261525292,COMPLETE,1.1622142789087953,172.5025460752239,,,,
active_only_reference,7,0.3109537684597097,COMPLETE,1.1763000996242512,61.659404183865774,,,,
active_only_reference,8,0.5748905576976604,COMPLETE,1.1460112948245293,118.22411151157775,,,,
active_only_reference,9,0.1344422059994077,COMPLETE,1.174881494258412,154.60872600709513,,,,
active_only_reference,10,0.16029864358937385,COMPLETE,1.0234536789297555,62.995283737875106,,,,
active_only_reference,11,-1.1013567879468722,COMPLETE,1.2931902808185811,82.6997437665415,,,,
active_only_reference,12,0.16190605229255972,COMPLETE,1.1484150061584641,183.69640703904352,,,,
active_only_reference,13,-0.35353094208826485,COMPLETE,1.192668498418458,199.98680309932456,,,,
active_only_reference,14,-0.058226165756036785,COMPLETE,1.2077043240877523,124.23779608376022,,,,
active_only_reference,15,0.2897166626103509,COMPLETE,1.1860510300089318,98.1274557267283,,,,
active_only_reference,16,-1.6982240982947983,COMPLETE,1.29520852934407,177.365205112597,,,,
active_only_reference,17,0.3445265987012114,COMPLETE,1.0270704981712826,124.39922171614003,,,,
active_only_reference,18,-0.5315569069550219,COMPLETE,1.2325431858164484,142.15254697871114,,,,
active_only_reference,19,0.5789263471804196,COMPLETE,1.0857957020369569,162.08738952730795,,,,
active_only_reference,20,-0.07610618919604573,COMPLETE,1.1422868709658942,249.47505261599053,,,,
active_only_reference,21,0.5813845765547665,COMPLETE,1.0571865862821184,140.8333234841523,,,,
active_only_reference,22,0.5802746755085852,COMPLETE,1.0606722062829401,148.69498377177823,,,,
active_only_reference,23,-0.9118694601171429,COMPLETE,1.2516806827709084,155.21265542104896,,,,
active_only_reference,24,0.7120750868373715,COMPLETE,1.0906309885274164,120.47247145153686,,,,
active_only_reference,25,-0.5576753331678508,COMPLETE,1.2685592075628287,72.72529899883295,,,,
active_only_reference,26,0.5416911845899319,COMPLETE,1.1104310166140785,74.84111645740275,,,,
active_only_reference,27,-0.363566615414046,COMPLETE,1.2186565762979364,148.2317664310233,,,,
active_only_reference,28,0.5329138016893387,COMPLETE,1.1076372568265676,163.90513602132788,,,,
active_only_reference,29,0.22868618263141016,COMPLETE,1.1942848533300228,73.92736158986764,,,,
active_only_reference,30,-0.034690865334796595,COMPLETE,1.2133360264809474,104.45121058415864,,,,
active_only_reference,31,-0.09212009755926731,COMPLETE,1.157760208797063,215.5077430661227,,,,
active_only_reference,32,0.14609904566658116,COMPLETE,1.120196626642263,218.96351537268526,,,,
active_only_reference,33,-0.5439320795076363,COMPLETE,1.245527699925768,110.32754215529195,,,,
active_only_reference,34,0.5486484839600125,COMPLETE,1.1328086031743123,79.3125176316575,,,,
active_only_reference,35,0.3650730460585505,COMPLETE,1.0520716202006535,195.63344753352004,,,,
active_only_reference,36,-0.5481269869676453,COMPLETE,1.20281380081139,226.3758182654922,,,,
active_only_reference,37,0.10467642159741608,COMPLETE,1.1620028551427195,175.5434266282844,,,,
active_only_reference,38,0.4062091962139025,COMPLETE,1.0898236936353078,190.95810692479645,,,,
active_only_reference,39,-1.0463623963314794,COMPLETE,1.2473936113280106,212.73681757676533,,,,
active_only_reference,40,0.6888191505115104,COMPLETE,1.0848028690526819,134.41877882718455,,,,
active_only_reference,41,0.6914598393760851,COMPLETE,1.0814768969203155,129.2005800534249,,,,
active_only_reference,42,0.6636857391393081,COMPLETE,1.0735852735465066,133.93571975867087,,,,
active_only_reference,43,0.7134190901759263,COMPLETE,1.0997701594588853,112.5134548616542,,,,
active_only_reference,44,0.6571191812077437,COMPLETE,1.1028563620303395,93.84006068374781,,,,
active_only_reference,45,0.48021181404815927,COMPLETE,1.0417261253902361,120.53117102859368,,,,
active_only_reference,46,0.6872460289518934,COMPLETE,1.1211089688657785,110.93541393862792,,,,
active_only_reference,47,0.3005326518664919,COMPLETE,1.0720114175504276,52.2613222581149,,,,
active_only_reference,48,0.7124727745776882,COMPLETE,1.10007049240032,111.76008634806468,,,,
active_only_reference,49,0.6293746655328336,COMPLETE,1.0958933355339082,89.681699559784,,,,
active_only_reference,50,0.6743366994334421,COMPLETE,1.1258559617481967,112.93083858898773,,,,
active_only_reference,51,0.6856591216811925,COMPLETE,1.0783064659045896,127.01295954979847,,,,
active_only_reference,52,0.698475352676442,COMPLETE,1.09737237978521,105.66335698255031,,,,
active_only_reference,53,0.6902221585262103,COMPLETE,1.1123336058164395,103.41554784404188,,,,
active_only_reference,54,0.6752986235812442,COMPLETE,1.0977187774488268,98.72779425993014,,,,
