carrier_refractive_index,carrier_thickness_um,optimized_retrofit_refractive_index,optimized_retrofit_thickness_nm,transmitted_power_w_m2,weighted_transmittance_percent,additional_power_vs_baseline_w_m2,absolute_gain_vs_baseline_percentage_points,relative_gain_vs_baseline_percent,gain_retention_vs_active_only_percent,maximum_energy_residual,optimization_trial_number,passes_positive_gain_gate
1.2,50.0,1.0957613724715156,132.20608953534182,830.4195355212041,99.32279555098825,2.974309979138866,0.3557440177245571,0.35945702353776643,50.10323149979141,1.2212453270876722e-15,90,True
1.22,50.0,1.1041079193464987,132.94499403207195,829.8785053578717,99.25808533404249,2.433279815806486,0.29103380077879065,0.29407140686713457,40.989400153382654,1.2212453270876722e-15,106,True
1.24,50.0,1.1143244401466437,129.8758151026066,829.2075191484183,99.17783165111673,1.7622936063530688,0.21078011785303216,0.21298009245247354,29.686416395400077,1.1102230246251565e-15,105,True
1.26,50.0,1.1210826760233963,128.49025012766276,828.4267825551992,99.0844512118201,0.9815570131339655,0.11739967855639903,0.11862501381779567,16.534651265075414,1.2212453270876722e-15,134,True
1.28,50.0,1.1308929676570636,127.6376961265047,827.5342686675589,98.97770158636376,0.08904312549361748,0.01065005310005467,0.010761210862662806,1.4999607846399932,1.1102230246251565e-15,112,True
1.3,50.0,1.1398434753215914,126.04408945594224,826.537155486747,98.85844130362388,-0.9080700553182623,-0.10861022963981967,-0.10974382681625593,-15.296739250026603,1.2212453270876722e-15,122,False
1.32,50.0,1.1484084435242643,127.5836572789333,825.4495247098168,98.7283546128957,-1.995700832248417,-0.23869692036801232,-0.24118827091437012,-33.61823801277722,1.2212453270876722e-15,121,False
1.34,50.0,1.1580981785733884,126.21972648252728,824.2620057470706,98.58632073952862,-3.1832197949946703,-0.3807307937350919,-0.38470459393965567,-53.62238617425901,1.2212453270876722e-15,123,False
1.36,50.0,1.1657389272156644,125.24713280557039,822.986801471095,98.43379921496093,-4.458424070970295,-0.533252318302765,-0.5388180308913559,-75.10362232545158,1.2212453270876722e-15,66,False
1.38,50.0,1.1756572534760577,123.39470909124313,821.6261877522993,98.27106224595286,-5.819037789765957,-0.6959892873108365,-0.7032535339065935,-98.02360867951288,1.2212453270876722e-15,113,False
1.4,50.0,1.1854065014806083,123.81836824305533,820.1815073242433,98.09827043090691,-7.263718217821975,-0.8687811023567846,-0.8778488283696919,-122.35972644725982,1.2212453270876722e-15,132,False
