wavelength_nm,solar_irradiance_w_m2_nm,existing_ar_reflectance_tmm,existing_ar_transmittance_tmm,existing_ar_reflectance_meep,existing_ar_transmittance_meep,stacked_retrofit_reflectance_tmm,stacked_retrofit_transmittance_tmm,stacked_minus_existing_transmittance
300.0,0.0010205,0.03471123999975767,0.9652887600002423,0.03447469301030359,0.9653900352979613,0.025999224326320965,0.974000775673679,0.008712015673436713
301.0,0.00193,0.03442456522969284,0.9655754347703072,0.03419155292136028,0.9655856809954723,0.025281999451300767,0.9747180005486993,0.00914256577839212
302.0,0.0029209,0.034135894928288876,0.9658641050717112,0.0339055959315135,0.9658207629408561,0.02456463084969511,0.9754353691503049,0.009571264078593766
303.0,0.0070945,0.03384537010444808,0.9661546298955519,0.03362294879472593,0.9661229076213604,0.023848024389232527,0.9761519756107675,0.0099973457152156
304.0,0.0094701,0.033553128457744545,0.9664468715422555,0.03334268972605583,0.9664612625764931,0.02313305806354637,0.9768669419364536,0.010420070394198122
305.0,0.016463,0.033259304417227575,0.9667406955827724,0.033053523463276675,0.9667128547583387,0.0224205816524715,0.9775794183475285,0.010838722764756059
306.0,0.018577,0.03296402918116442,0.9670359708188356,0.03275737743124806,0.967102746205273,0.021711416442713186,0.9782885835572868,0.011252612738451129
307.0,0.027849,0.03266743075762419,0.9673325692423758,0.032470817283270455,0.9675123378992315,0.021006355006614,0.978993644993386,0.011661075751010275
308.0,0.037837,0.032369634005809875,0.9676303659941902,0.03218502820232606,0.9678874869265723,0.02030616103678893,0.979693838963211,0.012063472969020883
309.0,0.040534,0.032070760678052194,0.9679292393219479,0.0318866842829391,0.9681755110657334,0.019611569234440136,0.9803884307655598,0.012459191443611961
310.0,0.050939,0.031770929462381685,0.9682290705376183,0.03158579624996759,0.9685050384256298,0.01892328524919732,0.9810767147508027,0.012847644213184406
311.0,0.082922,0.031470256025602245,0.9685297439743977,0.031291263549013515,0.9688220548448692,0.018241985668364165,0.9817580143316358,0.013228270357238059
312.0,0.093376,0.0311688530567935,0.9688311469432065,0.030994877166173874,0.9691109416721778,0.017568318053480723,0.9824316819465193,0.01360053500331282
313.0,0.10733,0.030866830311171697,0.9691331696888283,0.03068697198685214,0.969352879405284,0.01690290102213954,0.9830970989778605,0.013963929289032118
314.0,0.11969,0.030564294654246944,0.9694357053457531,0.03038292323520639,0.9696252767199721,0.016246324373019507,0.9837536756269805,0.014317970281227388
