wavelength_nm,reflectance,transmittance,energy_residual,fresnel_reflectance
300.0,0.04115100535402173,0.9588983777618949,-4.938311591662359e-05,0.042579994960947345
301.255230125523,0.041162223656108325,0.9588912397015456,-5.3463357653882326e-05,0.042579994960947345
302.52100840336135,0.041175333138791355,0.9588316439020302,-6.977040821642966e-06,0.042579994960947345
303.7974683544304,0.041189391648964985,0.9587594516148444,5.115673619060512e-05,0.042579994960947345
305.08474576271186,0.041202593909838124,0.9587101760542298,8.723003593202883e-05,0.042579994960947345
306.3829787234043,0.041213297635779036,0.9587007541734993,8.594819072160753e-05,0.042579994960947345
307.6923076923077,0.041221442019880476,0.9587257607575261,5.2797222593437e-05,0.042579994960947345
309.0128755364807,0.04122809624266728,0.9587674995193599,4.404237972766012e-06,0.042579994960947345
310.34482758620686,0.04123451275426348,0.9588090180222719,-4.353077653540538e-05,0.042579994960947345
311.68831168831167,0.041241926519669285,0.9588389015300097,-8.082804967901591e-05,0.042579994960947345
313.04347826086956,0.04125143723883695,0.9588501077769108,-0.00010154501574777264,0.042579994960947345
314.410480349345,0.04126359053534995,0.9588399044934494,-0.00010349502879936079,0.042579994960947345
315.7894736842105,0.04127804151296946,0.9588107469998122,-8.878851278160127e-05,0.042579994960947345
317.1806167400881,0.04129369130561507,0.9587690326771474,-6.272398276252478e-05,0.042579994960947345
318.5840707964602,0.04130925910751924,0.9587230827363441,-3.2341843863359365e-05,0.042579994960947345
320.0,0.04132366433433818,0.9586822066987253,-5.871033063487019e-06,0.042579994960947345
321.42857142857144,0.04133617824175113,0.9586546684296295,9.15332861928242e-06,0.042579994960947345
322.86995515695065,0.04134679298057293,0.9586433787744172,9.828245009835257e-06,0.042579994960947345
324.3243243243243,0.04135628271918795,0.9586435445117635,1.7276904851204478e-07,0.042579994960947345
325.7918552036199,0.04136556626402292,0.9586458800809126,-1.1446344935439612e-05,0.042579994960947345
327.27272727272725,0.041375275210667244,0.958642404919012,-1.7680129679176204e-05,0.042579994960947345
328.76712328767127,0.04138587406826552,0.9586297909429705,-1.5665011236065673e-05,0.042579994960947345
330.2752293577982,0.04139761521604063,0.958609413743834,-7.028959874699758e-06,0.042579994960947345
331.7972350230415,0.04141025552230544,0.9585858585370957,3.885940598857829e-06,0.042579994960947345
333.3333333333333,0.04142306047155324,0.958564383747855,1.2555780591783083e-05,0.042579994960947345
334.8837209302325,0.041435266400941945,0.9585478669312534,1.6866667804649182e-05,0.042579994960947345
336.4485981308411,0.041446571769752846,0.9585357267318438,1.770149840329971e-05,0.042579994960947345
338.0281690140845,0.041457064179778805,0.9585259969789572,1.6938841263969273e-05,0.042579994960947345
339.62264150943395,0.041466834288424036,0.9585177709009628,1.539481061318959e-05,0.042579994960947345
341.23222748815164,0.04147603621229938,0.9585110764480437,1.2887339656986185e-05,0.042579994960947345
342.8571428571429,0.04148513612657688,0.9585052414547631,9.622418659982479e-06,0.042579994960947345
344.4976076555024,0.041494670175488656,0.9584986322094015,6.6976151098518955e-06,0.042579994960947345
346.15384615384613,0.041504828925789786,0.9584899773430364,5.193731173802618e-06,0.042579994960947345
347.82608695652175,0.041515426707363565,0.9584793155789081,5.257713728390456e-06,0.042579994960947345
349.5145631067961,0.04152616770251142,0.9584678060923426,6.026205146003605e-06,0.042579994960947345
351.2195121951219,0.04153686884876765,0.958457043438583,6.087712649427424e-06,0.042579994960947345
352.94117647058823,0.041547438353717825,0.9584481892440134,4.3724022688040876e-06,0.042579994960947345
354.679802955665,0.04155775281147145,0.9584410612114993,1.1859770292499405e-06,0.042579994960947345
356.43564356435644,0.041567731948931846,0.9584341430493161,-1.8749982478860616e-06,0.042579994960947345
358.20895522388054,0.04157746778308468,0.9584259798590163,-3.4476421010287694e-06,0.042579994960947345
