wavelength_nm,meep_reflectance,analytic_reflectance,meep_transmittance,energy_residual,bare_glass_reflectance
300.0,0.001983258458527492,0.0019519783117009119,0.997634003264336,0.0003827382771364185,0.042579994960947345
301.25523012552304,0.0018004274518378988,0.001775458283708739,0.9976938010935705,0.0005057714545915193,0.042579994960947345
302.5210084033614,0.0016567005543193087,0.0016329802020881568,0.9978033573346976,0.0005399421109830715,0.042579994960947345
303.7974683544304,0.001543484877943156,0.0015248036913177838,0.9981064855649336,0.00035002955712315487,0.042579994960947345
305.08474576271186,0.0014617474325855436,0.0014511260113764816,0.9981664904930909,0.000371762074323545,0.042579994960947345
306.3829787234043,0.0014160668270512965,0.0014120815828054928,0.9983288660023114,0.0002550671706372798,0.042579994960947345
307.69230769230774,0.0014048850814113755,0.0014077416625798709,0.9985301281137202,6.498680486843877e-05,0.042579994960947345
309.01287553648064,0.001427506917228933,0.0014381141721261552,0.9985587408631754,1.3752219595652981e-05,0.042579994960947345
310.3448275862069,0.001490117132621905,0.0015031436781967476,0.9985569016556312,-4.70187882530837e-05,0.042579994960947345
311.68831168831167,0.0015875908555439413,0.0016027115266800467,0.9984810963303329,-6.868718587682565e-05,0.042579994960947345
313.0434782608695,0.001716504668786657,0.0017366361287934806,0.9983226595882506,-3.91642570373163e-05,0.042579994960947345
314.410480349345,0.0018802825707800392,0.0019046733984782983,0.9981739537249824,-5.4236295762399855e-05,0.042579994960947345
315.7894736842106,0.0020757504589877596,0.002106517339195363,0.997969868920657,-4.561937964475682e-05,0.042579994960947345
317.1806167400881,0.002303399718280863,0.0023418007777140717,0.9977269038938567,-3.0303612137516645e-05,0.042579994960947345
318.5840707964602,0.0025671127083418273,0.00261009624189597,0.9975192467015137,-8.635940985557422e-05,0.042579994960947345
320.0,0.002861585332834088,0.002910916978905517,0.9972464252205203,-0.00010801055335440957,0.042579994960947345
321.4285714285714,0.00318715135934005,0.0032437181097354807,0.9968878925984405,-7.504395778046291e-05,0.042579994960947345
322.86995515695065,0.0035471659239026325,0.0036078979154181333,0.9965412079766907,-8.837390059324157e-05,0.042579994960947345
324.32432432432427,0.003936671902997743,0.0040027992498080575,0.9961589547201537,-9.562662315143466e-05,0.042579994960947345
325.7918552036199,0.004354500870719255,0.004427711073372545,0.9957027774320769,-5.7278302796115454e-05,0.042579994960947345
327.27272727272725,0.004803179481871109,0.004881870102011588,0.9952473959513577,-5.057543322883884e-05,0.042579994960947345
328.76712328767127,0.0052794746894214714,0.005364462564555888,0.9947813197634805,-6.079445290196883e-05,0.042579994960947345
330.2752293577982,0.005782078958439734,0.005874626062258804,0.9942631451103128,-4.522406875251406e-05,0.042579994960947345
331.7972350230415,0.006313213410581959,0.00641145152330788,0.9937244058466541,-3.761925723611004e-05,0.042579994960947345
333.3333333333333,0.0068708385746259655,0.006973985245136287,0.9931610041263091,-3.1842700935147406e-05,0.042579994960947345
334.8837209302325,0.007452898645109035,0.007561231017113113,0.9925568761044502,-9.774749559210427e-06,0.042579994960947345
336.4485981308411,0.008059977440806398,0.008172152316034709,0.9919431847432068,-3.162184013194569e-06,0.042579994960947345
338.0281690140845,0.00868911658906283,0.008805674566729349,0.9913127542627278,-1.8708517905974276e-06,0.042579994960947345
339.62264150943395,0.009337677986858944,0.00946068746001899,0.9906421670838552,2.015492928586493e-05,0.042579994960947345
341.23222748815164,0.010008104999812606,0.01013604732026018,0.9899610383478817,3.0856652305621957e-05,0.042579994960947345
342.85714285714283,0.010697475021086821,0.01083057951470511,0.9892795004720932,2.302450681990198e-05,0.042579994960947345
344.4976076555024,0.011403497169724662,0.011543080896984168,0.9885710015090389,2.5501321236465202e-05,0.042579994960947345
346.15384615384613,0.012126408666853739,0.012272322277112547,0.9878427072739383,3.088405920792514e-05,0.042579994960947345
347.82608695652175,0.0128665441788425,0.013017050910559273,0.9871092254999058,2.423032125176139e-05,0.042579994960947345
349.5145631067961,0.013621127947131726,0.013775992999090995,0.9863585725295283,2.029952333992835e-05,0.042579994960947345
351.2195121951219,0.014388500023963188,0.014547856196307473,0.985592056872618,1.9443103418836927e-05,0.042579994960947345
352.9411764705882,0.015168697758611651,0.01533133211102133,0.984818215821421,1.3086419967334173e-05,0.042579994960947345
354.67980295566497,0.015959559514528935,0.016125098801897594,0.9840270844170247,1.3356068446324088e-05,0.042579994960947345
356.4356435643565,0.016758637764039002,0.01692782325705508,0.9832211438545841,2.0218381376890804e-05,0.042579994960947345
358.2089552238806,0.017564940609056466,0.017738163852641448,0.982416512980327,1.8546410616604447e-05,0.042579994960947345
360.0,0.018378965668683758,0.018554772784720647,0.981608150535369,1.2883795947216115e-05,0.042579994960947345
361.80904522613065,0.01919715548574005,0.01937629846915386,0.9807882508023561,1.459371190382086e-05,0.042579994960947345
363.6363636363636,0.020018690120845985,0.020201387904511318,0.979968732191978,1.2577687175996388e-05,0.042579994960947345
365.48223350253807,0.020843315113216077,0.02102868899341711,0.9791537885642356,2.8963225482403487e-06,0.042579994960947345
367.3469387755102,0.02166895282217363,0.021856852818100663,0.9783339070947762,-2.8599169498155774e-06,0.042579994960947345
369.23076923076917,0.022493579984379505,0.022684535866304624,0.9775107428357349,-4.322820114421866e-06,0.042579994960947345
371.13402061855663,0.023316877432754134,0.023510402204075402,0.9766906327694658,-7.510202219895845e-06,0.042579994960947345
373.0569948186529,0.024138008169720837,0.024333125592338672,0.975871046006042,-9.054175762912564e-06,0.042579994960947345
374.99999999999994,0.024954674998146475,0.025151391544533226,0.9750539476710435,-8.62266918999488e-06,0.042579994960947345
376.9633507853403,0.025765580096622817,0.02596389932294325,0.9742462244640919,-1.180456071470104e-05,0.042579994960947345
378.94736842105266,0.02657019450146754,0.026769363871725092,0.9734449444985955,-1.5139000063113528e-05,0.042579994960947345
380.9523809523809,0.027366715649103274,0.027566517684973587,0.9726463848976077,-1.3100546710997918e-05,0.042579994960947345
382.97872340425533,0.028153178779202884,0.028354112608507252,0.9718572552130437,-1.043399224653907e-05,0.042579994960947345
