existing_ar_refractive_index,existing_ar_thickness_nm,baseline_reflectance_percent,baseline_transmittance_percent,retrofit_reflectance_percent,retrofit_transmittance_percent,absolute_change_percentage_points,relative_change_percent,baseline_energy_residual,retrofit_energy_residual
1.25,80.0,0.7771262483192157,99.22287375168078,0.666302431294603,99.33369756870542,0.11082381702464117,0.11169180334567042,1.1102230246251565e-16,2.220446049250313e-16
1.25,100.0,0.10858487472104501,99.89141512527898,0.6372371073706781,99.36276289262929,-0.5286522326496956,-0.5292268930084609,2.220446049250313e-16,3.3306690738754696e-16
1.25,120.0,0.10858487472104478,99.89141512527895,0.7180877005121348,99.28191229948784,-0.6095028257911195,-0.6101653730970935,0.0,2.220446049250313e-16
1.25,140.0,0.7771262483192145,99.22287375168081,0.8827616502543446,99.11723834974562,-0.10563540193518905,-0.10646275192508492,2.220446049250313e-16,3.3306690738754696e-16
1.28,80.0,0.7905509043272206,99.20944909567281,0.39388039885375925,99.6061196011462,0.39667050547339544,0.39983137603241126,3.3306690738754696e-16,3.3306690738754696e-16
1.28,100.0,0.1908886601323941,99.80911133986758,0.3212794643829868,99.67872053561702,-0.1303908042505686,-0.13064018154270718,2.220446049250313e-16,0.0
1.28,120.0,0.28397199461317774,99.71602800538679,0.4151809699273823,99.58481903007261,-0.13120897531418985,-0.13158263314209107,3.3306690738754696e-16,1.1102230246251565e-16
1.28,140.0,1.0355011988239737,98.96449880117605,0.6436085598874915,99.3563914401125,0.391892638936453,0.3959931527807603,2.220446049250313e-16,1.1102230246251565e-16
1.3,80.0,0.8548508344507892,99.14514916554921,0.26008842763651646,99.73991157236344,0.594762406814231,0.5998905764124762,0.0,4.440892098500626e-16
1.3,100.0,0.3107995130947192,99.68920048690528,0.17151272414372545,99.82848727585626,0.13928678895097635,0.13972104126691587,0.0,1.1102230246251565e-16
1.3,120.0,0.4624409180296209,99.53755908197039,0.2799167220980675,99.72008327790194,0.1825241959315549,0.18337218394239851,0.0,1.1102230246251565e-16
1.3,140.0,1.2524374605424988,98.74756253945746,0.5471305851949062,99.45286941480508,0.705306875347611,0.7142524404749606,3.3306690738754696e-16,1.1102230246251565e-16
1.35,80.0,1.207038484999138,98.79296151500083,0.09547850264162165,99.90452149735837,1.1115599823575462,1.1251408656159922,3.3306690738754696e-16,0.0
1.35,100.0,0.821950237296473,99.17804976270352,0.003462248132602483,99.99653775186738,0.8184879891638519,0.8252713086435826,0.0,2.220446049250313e-16
1.35,120.0,1.0901641533463378,98.90983584665369,0.1536296185523241,99.84637038144768,0.9365345347939869,0.9468568285220469,3.3306690738754696e-16,0.0
1.35,140.0,1.904278395305814,98.09572160469416,0.48893322501964354,99.51106677498034,1.4153451702861752,1.4428204891439922,2.220446049250313e-16,2.220446049250313e-16
